realDonaldTrump, 38092
PMOIndia, 6378
narendramodi, 6374
jaketapper, 5910
YouTube, 5667
BorisJohnson, 4928
JoeBiden, 4776
CNN, 4139
POTUS, 3683
WHO, 3500
piersmorgan, 3321
thomaskaine5, 3306
NYGovCuomo, 3284
Shop_Mask_USA, 3006
gatewaypundit, 2853
Gurmeetramrahim, 2693
NCDCgov, 2664
Frozan8, 2656
WhiteHouse, 2535
derasachasauda, 2471
CDCgov, 2460
MattHancock, 2042
SpeakerPelosi, 1810
BreitbartNews, 1757
GOP, 1747
PressSec, 1714
nytimes, 1707
Mask_Shop_USA, 1703
BTS_twt, 1691
Shop_Masks_USA, 1590
IngrahamAngle, 1544
MoHFW_INDIA, 1538
thehill, 1531
SkyNews, 1510
RahulGandhi, 1474
AmitShah, 1468
BBCNews, 1455
FoxNews, 1446
BarackObama, 1366
GavinNewsom, 1360
DonaldJTrumpJr, 1360
ChouhanShivraj, 1356
ashokgehlot51, 1351
washingtonpost, 1350
MSNBC, 1344
GenFlynn, 1338
elonmusk, 1338
Medical_Masks_K, 1327
nsitharaman, 1242
drharshvardhan, 1211
SecPompeo, 1210
kpophappenings_, 1189
ArvindKejriwal, 1181
dbongino, 1177
Twitter, 1153
VP, 1146
ABC, 1144
myogiadityanath, 1139
UN, 1077
HillaryClinton, 1068
GovWhitmer, 1055
CBSNews, 1031
CMOMaharashtra, 1020
MailOnline, 1006
seanhannity, 994
ndtv, 972
NBCNews, 972
ImranKhanPTI, 970
NicolaSturgeon, 968
PIB_India, 950
SenSchumer, 946
10DowningStreet, 929
ygofficialblink, 907
aajtak, 904
brithume, 901
senatemajldr, 899
RealJamesWoods, 887
JustinTrudeau, 863
HardeepSPuri, 860
SaintRampalJiM, 825
Reuters, 824
JackPosobiec, 823
DrRPNishank, 822
HMOIndia, 817
HRDMinistry, 816
INCIndia, 815
nypost, 813
LindseyGrahamSC, 808
maddow, 800
Alyssa_Milano, 797
Keir_Starmer, 794
WSJ, 786
